Time | System RAM (Free) | Swap (Free) | GPU VRAM (Used) | CPU Load
19:21:54 | 20800MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.94
19:21:56 | 20796MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.94
19:21:58 | 20799MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.94
19:22:00 | 20799MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.94
19:22:02 | 20797MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.94
19:22:04 | 20796MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.95
19:22:06 | 20794MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.95
19:22:08 | 20852MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.95
19:22:10 | 20816MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.95
19:22:12 | 20813MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.95
19:22:14 | 20811MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.95
19:22:16 | 20810MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.95
19:22:18 | 20808MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.96
19:22:21 | 20806MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.96
19:22:23 | 20846MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.96
19:22:25 | 20807MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.96
19:22:27 | 20805MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.96
19:22:29 | 20805MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.97
19:22:31 | 20804MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.97
19:22:33 | 20794MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.89
19:22:35 | 20741MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.89
19:22:37 | 20781MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.89
19:22:39 | 20742MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.90
19:22:41 | 20733MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.90
19:22:43 | 20708MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.91
19:22:45 | 20708MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.91
19:22:47 | 20706MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.91
19:22:49 | 20744MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.91
19:22:51 | 20706MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.91
19:22:53 | 20706MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.92
19:22:55 | 20706MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.92
19:22:57 | 20704MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.92
19:22:59 | 20729MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.93
19:23:01 | 20732MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.93
19:23:03 | 20738MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.93
19:23:05 | 20735MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.93
19:23:07 | 20789MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.93
19:23:09 | 20788MB | 16125MB | Failed to initialize NVML: GPU access blocked by the operating systemMB | 0.94
